Pos,Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
1,Arica y Parinacota,252110,16873,2022-04-14,11,5,2,18,7,13974058942525,55196,0,807,1,4620624682948,98,0,3439,54250,2020-03-19,757,1,483,627592,3,72670807453416,0,1,24,5,0,0,0,0,0
2,Tarapaca,382773,42225,2022-04-14,17,5,3,25,6,53128616699715,79296,1,1085,1,36829096045198,89,0,10393,78096,2020-03-23,753,3,1962,902149,1,27420998980632,0,2,147,43,0,0,0,0,0
3,Antofagasta,691854,126049,2022-04-14,20,18,10,48,6,93787995733204,122096,1,1748,1,43166033285284,272,1,6822,120047,2020-03-14,762,15,1515,1629580,3,16831683168317,0,2,87,10,0,0,0,0,0
4,Atacama,314709,75176,2022-04-14,32,21,7,60,19,0652316902281,65431,3,580,0,886429979673244,212,0,1743,64663,2020-03-14,762,4,697,721782,8,60832137733142,0,1,30,12,0,0,0,0,0
5,Coquimbo,836096,40579,2022-04-14,75,33,22,130,15,5484537660747,125334,2,1658,1,32286530390796,437,0,9383,123254,2020-03-19,757,11,1576,1097080,8,248730964467,0,1,95,19,0,0,0,0,0
6,Valparaiso,1960170,16396,2022-04-14,223,31,113,367,18,7228658738783,302969,12,5541,1,82889998646726,1295,1,50200,296524,2020-03-16,760,38,4368,2646318,8,40201465201465,0,1,204,15,0,0,0,0,0
7,Metropolitana,8125072,15403,2022-04-14,689,167,308,1164,14,3260268955155,1345810,11,28129,2,090116732674,4993,6,161563,1314223,2020-03-04,772,188,18265,12526079,6,37284423761292,0,3,526,74,0,0,0,0,0
8,OHiggins,991063,16387,2022-04-14,86,49,24,159,16,043379684238,148773,7,2495,1,67705161554852,516,0,14803,145924,2020-03-19,757,9,1155,1176838,13,7662337662338,0,1,24,14,0,0,0,0,0
9,Maule,1131939,30296,2022-04-14,159,24,40,223,19,7007082537133,237535,4,2870,1,20824299576904,760,3,10644,233903,2020-03-03,773,22,2952,1787175,7,55420054200542,0,4,291,71,0,0,0,0,0
10,Nuble,511551,13178,2022-04-14,73,13,21,107,20,916780536056,99363,2,1085,1,0919557581796,347,0,10179,97894,2020-03-12,764,8,1066,791940,10,0375234521576,0,3,88,12,0,0,0,0,0
